"stat","mean","sd","min","max"
"RR",0.0901099609050976,0.170325574402687,0,1
"DET",0.731595049718597,0.21535445676371,0,1
"maxL",4.24319944879974e-17,1,-1.05497823339644,3.14953355809593
"NRLINE",-7.71203331023915e-18,1,-0.609460137344715,4.20444205053633
"L",4.99139575158014e-17,1,-1.74075728503694,2.67201944362724
"ENTR",2.27812011927984e-16,1,-3.04816621452012,1.81262484595088
"rENTR",0.448540563308887,0.247959263486668,0,1
"LAM",0.740742362170219,0.206112624639914,0,1
"TT",2.31538472877076e-17,1,-1.4046272416651,3.98224379709608
